scanfield,scandate
211119TRUM000M1I,"2021-11-29 14:50:55"
2111190NCK000L1I,"2021-11-29 15:23:10"
211119TRUM000M1I,"2021-11-29 15:23:21"
21111900AM002P1I,"2021-11-29 15:23:42"
21111900AM01PW1I,"2021-11-29 15:25:42"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK000L1I,"2021-11-26 16:25:05"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
2111190NCK00XL1I,"2021-11-26 16:31:21"
